Type,MidSize,Count,SampleWeight,CubeRoot,TuberWeight
A,52.5,22,2.6,4.907,118.18
A,32.5,19,0.6,3.161,31.58
A,47.5,28,2.7,4.586,96.43
A,47.5,29,2.73,4.549,94.14
A,42.5,20,1.35,4.072,67.5
A,57.5,21,3.61,5.56,171.9
A,37.5,7,0.32,3.576,45.71
A,52.5,28,3.6,5.047,128.57
A,32.5,6,0.2,3.218,33.33
A,32.5,9,0.2,2.811,22.22
A,47.5,35,3.2,4.505,91.43
A,42.5,27,1.75,4.017,64.81
A,57.5,6,1,5.503,166.67
A,37.5,15,0.7,3.6,46.67
A,52.5,24,3,5,125
A,32.5,9,0.2,2.811,22.22
A,47.5,41,3.95,4.584,96.34
A,42.5,18,1.25,4.11,69.44
A,57.5,8,1.35,5.526,168.75
A,37.5,9,0.4,3.542,44.44
A,52.5,23,2.95,5.043,128.26
A,37.5,13,0.6,3.587,46.15
A,47.5,34,3.25,4.572,95.59
A,32.5,12,0.35,3.078,29.17
A,42.5,27,1.85,4.092,68.52
A,57.5,10,1.5,5.313,150
A,52.5,27,3.5,5.061,129.63
A,32.5,8,0.27,3.232,33.75
A,47.5,26,2.83,4.775,108.85
A,42.5,34,2.73,4.314,80.29
A,57.5,5,1.07,5.981,214
A,37.5,19,1.03,3.785,54.21
A,52.5,14,1.97,5.201,140.71
A,37.5,6,0.28,3.6,46.67
A,52.5,24,3.43,5.228,142.92
A,32.5,5,0.18,3.302,36
A,47.5,30,3.3,4.791,110
A,42.5,19,1.5,4.29,78.95
A,57.5,9,1.58,5.599,175.56
A,37.5,16,0.83,3.73,51.88
A,52.5,25,3.67,5.275,146.8
A,47.5,31,3.28,4.73,105.81
A,42.5,34,2.5,4.189,73.53
A,57.5,12,2.28,5.749,190
A,57.5,7,1.33,5.749,190
A,37.5,27,1.6,3.899,59.26
A,52.5,18,2.83,5.397,157.22
A,32.5,19,0.73,3.374,38.42
A,47.5,32,3.6,4.827,112.5
A,42.5,32,2.7,4.386,84.38
A,42.5,39,2.7,4.106,69.23
A,37.5,57,3,3.748,52.63
A,32.5,54,1.75,3.188,32.41
A,47.5,5,0.45,4.481,90
A,37.5,55,3,3.792,54.55
A,52.5,5,0.7,5.192,140
A,32.5,45,1.5,3.218,33.33
A,47.5,18,1.9,4.726,105.56
A,42.5,58,4.5,4.265,77.59
A,57.5,2,0.3,5.313,150
A,37.5,47,2.5,3.761,53.19
A,52.5,4,0.55,5.161,137.5
A,32.5,39,1.3,3.218,33.33
A,47.5,30,3.2,4.743,106.67
A,42.5,42,3.1,4.195,73.81
A,32.5,23,0.7,3.122,30.43
A,47.5,24,2.4,4.642,100
A,42.5,41,2.9,4.136,70.73
A,37.5,46,2.4,3.737,52.17
A,52.5,7,1,5.228,142.86
A,37.5,30,1.6,3.764,53.33
A,52.5,3,0.4,5.109,133.33
A,32.5,34,1.1,3.186,32.35
A,47.5,26,2.7,4.7,103.85
A,42.5,40,3.6,4.481,90
A,57.5,1,0.2,5.848,200
A,57.5,9,1.37,5.339,152.22
A,37.5,12,0.53,3.535,44.17
A,52.5,19,2.32,4.961,122.11
A,32.5,7,0.15,2.778,21.43
A,47.5,21,1.83,4.433,87.14
A,42.5,14,0.93,4.05,66.43
A,42.5,33,2.37,4.157,71.82
A,57.5,5,0.75,5.313,150
A,37.5,22,1.08,3.662,49.09
A,32.5,12,0.28,2.858,23.33
A,47.5,22,2.18,4.627,99.09
A,37.5,31,1.57,3.7,50.65
A,52.5,16,2.4,5.313,150
A,32.5,16,0.6,3.347,37.5
A,47.5,31,3.47,4.819,111.94
A,42.5,32,2.63,4.348,82.19
A,57.5,3,0.63,5.944,210
A,37.5,22,1.2,3.792,54.55
A,52.5,7,1,5.228,142.86
A,32.5,24,0.8,3.218,33.33
A,47.5,35,3.9,4.812,111.43
A,42.5,46,2.9,3.98,63.04
A,57.5,2,0.3,5.313,150
A,57.5,2,0.25,5,125
A,37.5,49,2.67,3.791,54.49
A,32.5,28,0.93,3.214,33.21
A,47.5,20,1.9,4.563,95
A,42.5,40,2.65,4.046,66.25
A,42.5,39,3.1,4.3,79.49
A,57.5,3,0.7,6.156,233.33
A,37.5,40,2.2,3.803,55
A,52.5,12,1.7,5.213,141.67
A,32.5,53,1.4,2.978,26.42
A,47.5,12,1.3,4.767,108.33
A,42.5,23,1.82,4.293,79.13
A,57.5,7,1.38,5.82,197.14
A,37.5,20,1.1,3.803,55
A,52.5,17,2.23,5.081,131.18
A,32.5,7,0.23,3.203,32.86
A,47.5,21,2.17,4.693,103.33
A,47.5,30,2.97,4.626,99
A,42.5,40,2.87,4.155,71.75
A,57.5,4,0.68,5.54,170
A,37.5,25,1.24,3.674,49.6
A,52.5,21,2.63,5.003,125.24
A,32.5,14,0.44,3.156,31.43
A,32.5,21,0.63,3.107,30
A,47.5,23,2.15,4.538,93.48
A,42.5,42,2.73,4.021,65
A,37.5,39,1.75,3.554,44.87
A,52.5,16,1.89,4.907,118.13
A,37.5,28,1.35,3.64,48.21
A,52.5,17,2.08,4.964,122.35
A,32.5,21,0.7,3.218,33.33
A,47.5,32,3.22,4.651,100.63
A,42.5,45,3.41,4.232,75.78
A,57.5,5,0.88,5.604,176
A,42.5,35,2.35,4.064,67.14
A,57.5,7,1.12,5.429,160
A,37.5,31,1.5,3.644,48.39
A,52.5,17,2.44,5.236,143.53
A,32.5,18,0.6,3.218,33.33
A,47.5,36,3.18,4.454,88.33
A,42.5,46,3.05,4.047,66.3
A,57.5,7,1.17,5.508,167.14
A,37.5,25,1.19,3.624,47.6
A,52.5,19,2.28,4.932,120
A,32.5,15,0.46,3.13,30.67
A,47.5,45,4.26,4.558,94.67
A,67.5,1,0.22,6.037,220
A,82.5,1,0.5,7.937,500
A,32.5,5,0.13,2.962,26
A,47.5,18,1.61,4.472,89.44
A,62.5,3,0.54,5.646,180
A,77.5,1,0.34,6.98,340
A,42.5,7,0.43,3.946,61.43
A,57.5,8,1.23,5.357,153.75
A,72.5,1,0.27,6.463,270
A,37.5,8,0.34,3.49,42.5
A,52.5,14,1.55,4.802,110.71
A,42.5,14,0.9,4.006,64.29
A,57.5,14,2.05,5.271,146.43
A,37.5,8,0.37,3.59,46.25
A,52.5,21,2.41,4.86,114.76
A,67.5,1,0.25,6.3,250
A,32.5,4,0.11,3.018,27.5
A,47.5,21,1.96,4.536,93.33
A,62.5,6,1.2,5.848,200
A,47.5,18,1.79,4.633,99.44
A,62.5,8,1.76,6.037,220
A,42.5,16,1.06,4.046,66.25
A,57.5,23,3.75,5.463,163.04
A,37.5,12,0.59,3.663,49.17
A,52.5,23,3.01,5.077,130.87
A,32.5,6,0.18,3.107,30
A,72.5,1,0.32,6.84,320
A,37.5,7,0.31,3.538,44.29
A,52.5,24,2.89,4.938,120.42
A,77.5,1,0.34,6.98,340
A,32.5,8,0.24,3.107,30
A,47.5,19,1.75,4.516,92.11
A,62.5,6,1.23,5.896,205
A,27.5,4,0.07,2.596,17.5
A,42.5,10,0.71,4.141,71
A,57.5,14,2.32,5.493,165.71
A,82.5,1,0.48,7.83,480
A,62.5,8,1.46,5.672,182.5
A,77.5,1,0.38,7.243,380
A,27.5,4,0.08,2.714,20
A,42.5,7,0.42,3.915,60
A,57.5,13,1.93,5.295,148.46
A,72.5,4,1.15,6.6,287.5
A,22.5,2,0.02,2.154,10
A,37.5,9,0.41,3.571,45.56
A,52.5,11,1.3,4.907,118.18
A,67.5,4,0.86,5.991,215
A,82.5,1,0.5,7.937,500
A,32.5,9,0.28,3.145,31.11
A,47.5,11,1.06,4.585,96.36
A,27.5,1,0.02,2.714,20
A,42.5,18,1.17,4.021,65
A,57.5,22,3.45,5.393,156.82
A,22.5,1,0.01,2.154,10
A,37.5,9,0.42,3.6,46.67
A,52.5,18,2.36,5.08,131.11
A,67.5,3,0.85,6.568,283.33
A,32.5,4,0.12,3.107,30
A,47.5,20,1.88,4.547,94
A,62.5,2,0.46,6.127,230
Commercial Crop 1,72.5,1,331.3,6.92,331.3
Commercial Crop 1,67.5,1,251.8,6.315,251.8
Commercial Crop 1,67.5,1,256.7,6.355,256.7
Commercial Crop 1,67.5,1,280.4,6.545,280.4
Commercial Crop 1,67.5,1,251.8,6.315,251.8
Commercial Crop 1,62.5,1,212.7,5.969,212.7
Commercial Crop 1,62.5,1,259,6.374,259
Commercial Crop 1,62.5,1,229.2,6.12,229.2
Commercial Crop 1,62.5,1,233.6,6.159,233.6
Commercial Crop 1,57.5,1,127.5,5.033,127.5
Commercial Crop 1,57.5,1,247.6,6.279,247.6
Commercial Crop 1,57.5,1,167.1,5.508,167.1
Commercial Crop 1,57.5,1,164.32,5.477,164.32
Commercial Crop 1,57.5,1,265.2,6.425,265.2
Commercial Crop 1,57.5,1,237.3,6.191,237.3
Commercial Crop 1,57.5,1,220.8,6.044,220.8
Commercial Crop 1,57.5,1,160.5,5.435,160.5
Commercial Crop 1,57.5,1,150.8,5.323,150.8
Commercial Crop 1,57.5,1,198.4,5.832,198.4
Commercial Crop 1,57.5,1,207.7,5.922,207.7
Commercial Crop 1,57.5,1,152.1,5.338,152.1
Commercial Crop 1,57.5,1,203.4,5.881,203.4
Commercial Crop 1,52.5,1,135.8,5.14,135.8
Commercial Crop 1,52.5,1,160.2,5.431,160.2
Commercial Crop 1,52.5,1,148.9,5.3,148.9
Commercial Crop 1,52.5,1,125.2,5.003,125.2
Commercial Crop 1,52.5,1,153.1,5.35,153.1
Commercial Crop 1,52.5,1,112.5,4.827,112.5
Commercial Crop 1,52.5,1,125,5,125
Commercial Crop 1,52.5,1,180.8,5.655,180.8
Commercial Crop 1,52.5,1,163.5,5.468,163.5
Commercial Crop 1,52.5,1,127.8,5.037,127.8
Commercial Crop 1,52.5,1,117.8,4.902,117.8
Commercial Crop 1,52.5,1,161.9,5.45,161.9
Commercial Crop 1,52.5,1,153.2,5.351,153.2
Commercial Crop 1,52.5,1,95.4,4.569,95.4
Commercial Crop 1,52.5,1,149.3,5.305,149.3
Commercial Crop 1,47.5,1,93.6,4.54,93.6
Commercial Crop 1,47.5,1,106,4.733,106
Commercial Crop 1,47.5,1,113.5,4.842,113.5
Commercial Crop 1,47.5,1,122.2,4.962,122.2
Commercial Crop 1,47.5,1,122.5,4.966,122.5
Commercial Crop 1,47.5,1,83.4,4.369,83.4
Commercial Crop 1,47.5,1,81.9,4.343,81.9
Commercial Crop 1,47.5,1,108.9,4.775,108.9
Commercial Crop 1,47.5,1,106.7,4.743,106.7
Commercial Crop 1,47.5,1,92.2,4.518,92.2
Commercial Crop 1,47.5,1,121.8,4.957,121.8
Commercial Crop 1,47.5,1,110,4.791,110
Commercial Crop 1,47.5,1,133.6,5.112,133.6
Commercial Crop 1,47.5,1,93.9,4.545,93.9
Commercial Crop 1,47.5,1,117.9,4.904,117.9
Commercial Crop 1,47.5,1,107.1,4.749,107.1
Commercial Crop 1,47.5,1,117.1,4.892,117.1
Commercial Crop 1,47.5,1,110.6,4.8,110.6
Commercial Crop 1,47.5,1,79.4,4.298,79.4
Commercial Crop 1,47.5,1,104.3,4.707,104.3
Commercial Crop 1,47.5,1,106.6,4.742,106.6
Commercial Crop 1,47.5,1,115.8,4.874,115.8
Commercial Crop 1,47.5,1,71.3,4.147,71.3
Commercial Crop 1,47.5,1,108.7,4.773,108.7
Commercial Crop 1,42.5,1,64.3,4.006,64.3
Commercial Crop 1,42.5,1,110.9,4.805,110.9
Commercial Crop 1,42.5,1,62.3,3.964,62.3
Commercial Crop 1,42.5,1,69.1,4.104,69.1
Commercial Crop 1,42.5,1,99.2,4.629,99.2
Commercial Crop 1,42.5,1,72.3,4.166,72.3
Commercial Crop 1,37.5,1,41.6,3.465,41.6
Commercial Crop 1,37.5,1,57.5,3.86,57.5
Commercial Crop 1,37.5,1,46,3.583,46
Commercial Crop 1,37.5,1,46.6,3.599,46.6
Commercial Crop 1,37.5,1,54.8,3.798,54.8
Commercial Crop 1,37.5,1,49.1,3.662,49.1
Commercial Crop 1,37.5,1,36.7,3.323,36.7
Commercial Crop 1,37.5,1,34.8,3.265,34.8
Commercial Crop 1,37.5,1,49.6,3.674,49.6
Commercial Crop 1,37.5,1,65.5,4.031,65.5
Commercial Crop 1,32.5,1,46.7,3.601,46.7
Commercial Crop 1,32.5,1,30.5,3.124,30.5
Commercial Crop 1,32.5,1,39.6,3.409,39.6
Commercial Crop 1,32.5,1,31.9,3.172,31.9
Commercial Crop 1,32.5,1,38.9,3.388,38.9
Commercial Crop 1,27.5,1,16.7,2.556,16.7
Commercial Crop 1,27.5,1,20.9,2.755,20.9
Commercial Crop 1,27.5,1,15.5,2.493,15.5
Commercial Crop 1,27.5,1,19.9,2.71,19.9
Commercial Crop 1,27.5,1,14.2,2.422,14.2
Commercial Crop 1,27.5,1,27.5,3.018,27.5
Commercial Crop 1,27.5,1,35.7,3.293,35.7
Commercial Crop 1,22.5,1,8.6,2.049,8.6
Commercial Crop 1,22.5,1,9.4,2.111,9.4
Commercial Crop 1,22.5,1,10.1,2.162,10.1
Commercial Crop 1,22.5,1,14.9,2.461,14.9
Commercial Crop 1,17.5,1,4.6,1.663,4.6
